CMDLINE C:\Users\Dumba\miniconda3\envs\qua_anthill\python.exe ./main.py
MEM 102.746094 1705009981.8732
MEM 102.746094 1705009981.9803
MEM 102.746094 1705009982.0887
MEM 102.746094 1705009982.1969
MEM 102.746094 1705009982.3056
MEM 102.746094 1705009982.4151
MEM 102.746094 1705009982.5244
MEM 102.746094 1705009982.6338
MEM 102.746094 1705009982.7421
MEM 102.746094 1705009982.8506
MEM 102.746094 1705009982.9577
MEM 102.746094 1705009983.0670
MEM 102.746094 1705009983.1767
MEM 103.093750 1705009983.2847
MEM 102.746094 1705009983.3942
MEM 102.746094 1705009983.5033
MEM 103.093750 1705009983.6124
MEM 102.746094 1705009983.7209
MEM 102.746094 1705009983.8295
MEM 102.746094 1705009983.9375
MEM 102.746094 1705009984.0457
MEM 102.746094 1705009984.1554
MEM 102.746094 1705009984.2651
MEM 102.746094 1705009984.3718
MEM 102.746094 1705009984.4805
MEM 103.093750 1705009984.5911
MEM 102.746094 1705009984.6999
MEM 103.093750 1705009984.8088
MEM 102.746094 1705009984.9189
MEM 102.746094 1705009985.0288
MEM 102.746094 1705009985.1397
MEM 102.746094 1705009985.2470
MEM 102.746094 1705009985.3560
MEM 102.746094 1705009985.4654
MEM 102.746094 1705009985.5755
MEM 102.746094 1705009985.6826
MEM 102.746094 1705009985.7918
MEM 102.746094 1705009985.9028
MEM 102.746094 1705009986.0117
MEM 103.093750 1705009986.1238
MEM 102.757812 1705009986.2351
MEM 102.765625 1705009986.3439
MEM 102.765625 1705009986.4522
MEM 102.765625 1705009986.5613
MEM 102.765625 1705009986.6692
MEM 102.765625 1705009986.7765
MEM 102.765625 1705009986.8852
MEM 102.765625 1705009986.9927
MEM 102.765625 1705009987.1023
MEM 102.765625 1705009987.2098
MEM 102.765625 1705009987.3189
MEM 102.765625 1705009987.4270
MEM 102.765625 1705009987.5359
MEM 102.765625 1705009987.6441
MEM 102.765625 1705009987.7542
MEM 102.765625 1705009987.8629
MEM 102.765625 1705009987.9719
MEM 102.765625 1705009988.0800
MEM 102.765625 1705009988.1886
MEM 102.765625 1705009988.2994
MEM 102.765625 1705009988.4099
MEM 102.765625 1705009988.5183
MEM 102.765625 1705009988.6261
MEM 103.113281 1705009988.7353
MEM 102.765625 1705009988.8430
MEM 103.113281 1705009988.9513
MEM 102.765625 1705009989.0610
MEM 102.781250 1705009989.1708
MEM 102.781250 1705009989.2797
MEM 102.781250 1705009989.3900
MEM 102.781250 1705009989.5007
MEM 102.781250 1705009989.6113
MEM 102.781250 1705009989.7208
MEM 102.902344 1705009989.8283
